pais_residencia,nomprov,ind_empleado,segmento,sexo,age_group,renta
BO,MADRID,N,02 - PARTICULARES,V,4,94299.96
DE,MADRID,N,02 - PARTICULARES,H,3,141913.68
DE,MADRID,N,02 - PARTICULARES,H,4,141913.68
ES,ALAVA,N,01 - TOP,V,5,55271.07
ES,ALAVA,N,02 - PARTICULARES,H,2,97751.52
ES,ALAVA,N,02 - PARTICULARES,H,3,173662.47
ES,ALAVA,N,02 - PARTICULARES,H,4,96967.65
ES,ALAVA,N,02 - PARTICULARES,V,3,164007.12
ES,ALAVA,N,02 - PARTICULARES,V,4,253563.27
ES,ALAVA,N,03 - UNIVERSITARIO,V,3,74453.79
ES,ALBACETE,N,01 - TOP,H,3,77213.22
ES,ALBACETE,N,01 - TOP,H,4,85655.31
ES,ALBACETE,N,01 - TOP,H,5,72443.04
ES,ALBACETE,N,01 - TOP,H,6,63023.55
ES,ALBACETE,N,01 - TOP,V,3,55383.42
ES,ALBACETE,N,01 - TOP,V,4,87731.34
ES,ALBACETE,N,01 - TOP,V,5,94695.27
ES,ALBACETE,N,01 - TOP,V,6,98106.42
ES,ALBACETE,N,02 - PARTICULARES,H,0,77541.39
ES,ALBACETE,N,02 - PARTICULARES,H,1,88682.655
ES,ALBACETE,N,02 - PARTICULARES,H,2,66756.12
ES,ALBACETE,N,02 - PARTICULARES,H,3,77596.77
ES,ALBACETE,N,02 - PARTICULARES,H,4,81657.66
ES,ALBACETE,N,02 - PARTICULARES,H,5,85671.6
ES,ALBACETE,N,02 - PARTICULARES,H,6,89860.08
ES,ALBACETE,N,02 - PARTICULARES,V,0,70524.345
ES,ALBACETE,N,02 - PARTICULARES,V,1,78179.82
ES,ALBACETE,N,02 - PARTICULARES,V,2,75149.28
ES,ALBACETE,N,02 - PARTICULARES,V,3,73582.44
ES,ALBACETE,N,02 - PARTICULARES,V,4,80767.05
ES,ALBACETE,N,02 - PARTICULARES,V,5,84423.84
ES,ALBACETE,N,02 - PARTICULARES,V,6,96607.92
ES,ALBACETE,N,03 - UNIVERSITARIO,H,0,74162.28
ES,ALBACETE,N,03 - UNIVERSITARIO,H,1,75788.73
ES,ALBACETE,N,03 - UNIVERSITARIO,H,2,75395.64
ES,ALBACETE,N,03 - UNIVERSITARIO,H,3,74383.785
ES,ALBACETE,N,03 - UNIVERSITARIO,H,4,75252.24
ES,ALBACETE,N,03 - UNIVERSITARIO,V,0,79198.02
ES,ALBACETE,N,03 - UNIVERSITARIO,V,1,77400.75
ES,ALBACETE,N,03 - UNIVERSITARIO,V,2,75754.95
ES,ALBACETE,N,03 - UNIVERSITARIO,V,3,81202.8
ES,ALBACETE,N,03 - UNIVERSITARIO,V,4,78242.37
ES,ALBACETE,N,03 - UNIVERSITARIO,V,5,77517.96
ES,ALBACETE,N,03 - UNIVERSITARIO,V,6,92992.11
ES,ALICANTE,B,01 - TOP,V,4,115025.79
ES,ALICANTE,B,02 - PARTICULARES,V,4,187320.75
ES,ALICANTE,B,02 - PARTICULARES,V,5,187320.75
ES,ALICANTE,N,01 - TOP,H,0,38209.68
ES,ALICANTE,N,01 - TOP,H,3,60934.83
ES,ALICANTE,N,01 - TOP,H,4,81334.83
ES,ALICANTE,N,01 - TOP,H,5,94848.12
ES,ALICANTE,N,01 - TOP,H,6,79669.68
ES,ALICANTE,N,01 - TOP,V,2,57511.71
ES,ALICANTE,N,01 - TOP,V,3,58118.85
ES,ALICANTE,N,01 - TOP,V,4,80564.16
ES,ALICANTE,N,01 - TOP,V,5,87750.6
ES,ALICANTE,N,01 - TOP,V,6,99764.88
ES,ALICANTE,N,02 - PARTICULARES,H,0,66753.81
ES,ALICANTE,N,02 - PARTICULARES,H,1,62579.94
ES,ALICANTE,N,02 - PARTICULARES,H,2,52626.06
ES,ALICANTE,N,02 - PARTICULARES,H,3,63273.75
ES,ALICANTE,N,02 - PARTICULARES,H,4,69990.33
ES,ALICANTE,N,02 - PARTICULARES,H,5,76899.75
ES,ALICANTE,N,02 - PARTICULARES,H,6,72922.83
ES,ALICANTE,N,02 - PARTICULARES,V,0,62239.5
ES,ALICANTE,N,02 - PARTICULARES,V,1,67002.48
ES,ALICANTE,N,02 - PARTICULARES,V,2,58669.44
ES,ALICANTE,N,02 - PARTICULARES,V,3,59351.01
ES,ALICANTE,N,02 - PARTICULARES,V,4,70092.57
ES,ALICANTE,N,02 - PARTICULARES,V,5,74217.6
ES,ALICANTE,N,02 - PARTICULARES,V,6,78608.25
ES,ALICANTE,N,03 - UNIVERSITARIO,H,0,64289.16
ES,ALICANTE,N,03 - UNIVERSITARIO,H,1,62953.32
